1 administra 2 3 4 5
2 nasalnik_turmi 1
3 prison_cell 1
4 prison_cell 1
5 Lestnicha 1 6 7 9
6 stolovaia 5
7 podval 8 5
8 tonel 7
9 Hol 5 10 11 12 13 25
10 Med 9
11 progulka 9
12 Bana 9
13 block_c1 14 15 16 17 9 18
14 prison_cell 13
15 prison_cell 13
16 prison_cell 13
17 prison_cell 13
18 Lestnicha 13 19
19 block_c2 20 21 22 23 24 18
20 prison_cell 19
21 prison_cell 19
22 prison_cell 19
23 prison_cell 19
24 prison_cell 19
25 block_b1 26 27 28 29 9 30
26 prison_cell 25
27 prison_cell 25
28 prison_cell 25
29 prison_cell 25 
30 Lestnicha 25 31
31 block_b2 32 33 34 35 36 30
32 prison_cell 31
33 prison_cell 31
34 prison_cell 31
35 prison_cell 31
36 room_start 31
